labels	s11	s12	s21	s22	s31	s32
2	167650072734.155	-60314.2158	-935.8454	2093.34064792067	-808194.1024	15793.9457528968
1	167443852893.86	-653101.4511	6596.90012604858	7640.69368116248	-193242.1936	540064.951697227
2	167593484828.225	-297902.4973	468.927388337629	52.7743697066823	195206.29601278	119223.603499053
1	166556324883.882	-2331650.4041	1339.37728348267	193.220264084274	-190397.6736	-60867.4002
2	167576387614.133	-365277.9575	1821.49865207676	-2355.1723	-228409.547	-37178.3612
1	166295477903.395	-798806.4633	-497.0407	3061.20759560129	-274805.6336	-31526.4374
2	167621897429.394	-112988.1398	5174.07873128309	-5063.8242	-421841.2639	-6672.1697
1	166920494807.798	-3885674.8156	2038.52869713037	-1436.7674	-72462.9466	-10890.953
2	167626929181.331	-142756.7421	-365.5577	-601.5604	410480.49821824	109002.981918746
1	167428222573.647	-396259.2437	-10742.9793	-10267.7527	-417381.2697	476966.933859218
2	167649603446.895	-62399.6849	-1716.4376	3000.82805966428	30854.2252726197	-180664.6309
1	167290411323.066	-1908401.4875	2154.96459738748	-1228.8401	-92360.1647	-86258.9902
2	167646952073.621	-77410.1177	892.962906638458	-745.4408	154134.233822247	-159175.1279
1	167095390697.667	-3089292.9082	2250.20093510328	-1424.7558	-78732.6324	-72031.205
2	167644403684.998	-75410.1662	-418.4265	-1853.3631	340611.862346995	557751.374725468
1	167465112325.016	-564117.0587	-697.1308	-2411.5405	333766.601791459	514167.20519491
1	167490391225.05	-488852.6944	-1060.4767	-2894.1973	412564.997762413	586811.078676235
2	167650072781.705	-60314.5705	1770.47159069654	-3585.886	301374.887438655	-280999.4065
1	166399309358.397	-2127512.8322	721.564885897977	-734.8268	-226602.1977	25817.078425453
2	167650071829.535	-60317.1921	3450.23652601172	-7331.509	7744.0010111022	-282215.1895
1	166327904256.374	3673622.97432243	-8160.9397	12497.9674922739	-446862.8763	-31930.6588
1	166837433504.587	1487518.74363835	-5907.9378	7919.59302438342	-484409.0738	-76524.1953
2	167645805089.781	-77927.8503	861.726807113003	-540.9423	134274.037158628	-213070.0803
1	167432273401.357	487313.122148705	-5040.9866	7361.74819053677	-506445.9414	-53361.7325
2	167638874850.907	-111601.414	548.30632956034	-357.1505	218810.150327839	-186662.9417
1	166233139886.466	3008869.79351699	-6551.6604	10307.7733486866	-439725.4377	-49887.0847
2	167648932552.144	-63773.6652	834.183308818726	-578.5612	332625.116944247	-268166.0974
1	167630666414.616	-105379.168	3938.35851073136	-10522.3287	-455320.5012	-226863.152
2	167649687009.178	-62014.8235	962.080421199177	-449.8971	24652.2653145817	-265610.8758
1	167455120401.765	-584709.7478	-594.2462	-1943.6484	433276.646401052	446291.598327696
2	167647576749.928	-68630.7199	1009.24082719253	-652.79	48621.7561440791	-91445.2599
1	167476188469.577	-520003.0036	-912.639	-2381.634	539054.263413453	575709.369603385
2	167635520185.166	-120142.8303	-197.3828	347.059582693022	405321.080868763	-78259.1778
1	167244622291.36	-2418869.6375	988.444902499242	-687.3426	104867.908754571	-112760.5783
2	167246608401.353	-1302891.8578	1556.98514597219	83.0230648840756	-229700.8103	-82625.8049
1	166422035089.833	-1066784.4416	-1668.0834	-4139.4711	-257842.1995	54779.7531065072
2	167649741678.694	-61573.6816	-1710.0119	2493.7782811788	333168.077754242	-195145.8835
1	166398017127.958	3228394.940817	-4613.9687	9014.21330120784	-416480.9184	-34696.3855
2	167521108621.699	-843446.319	1613.68893951927	-1101.2309	81588.3612186279	-90910.0475
1	167618484447.296	-54249.6725	2427.27275192261	3782.2243040204	-442043.4587	-60943.0966
2	167648461623.165	-67456.2539	-222.7629	222.188514690202	388143.56449177	-159809.2734
1	167172940800.647	-2898707.9109	2030.39436513954	-1161.0947	-42048.1231	-114921.8197
2	167650067189.768	-60335.144	-118.87	198.205340761899	422443.826301214	-196249.2151
1	167558662447.615	-306601.2812	-10962.5904	-6319.4225	-416731.307	426663.223228688
2	167640167474.731	-64138.722	5116.92945920733	-6348.9145	-454538.7069	-17030.4084
1	166029446149.675	4626434.03280875	-7688.4209	12996.4154240955	-409499.0132	-15459.833
2	167649906028.943	-61044.3425	517.220315056178	-335.4983	234820.121459889	-217239.8732
1	166049624088.064	4932617.05852369	1237.67179899902	5870.9270129705	-405831.6022	-12762.7716
2	167615004468.58	-193758.6904	-324.7043	1199.94130015046	-163149.0966	-121099.866
1	167241501912.954	-2471818.0724	882.242113961383	-656.5798	144318.619787625	-34767.2522
2	167650023768.568	-60418.0568	-802.3938	4459.69643194987	-293146.9155	-117902.0456
1	167573545569.736	-273523.6341	-523.5337	-1578.8296	316644.409098367	355590.061530711
2	167649903905.494	-60918.0748	-625.0293	2956.75035586735	-147012.4328	-199693.561
1	167495910735.483	-459788.5404	-693.6506	-1663.8019	601214.137919368	443753.40645676
2	167650072190.448	-60316.3624	-278.6358	-610.6725	595685.826691094	-122703.3026
1	167100041902.094	-3127058.6675	2248.20045215816	-1699.94	-62925.0847	-68516.9573
2	167416950115.71	-1077914.5726	-230.4562	233.7062611417	335469.913882631	-116882.7423
1	167289995206.026	-873891.7548	119.472526103813	1856.68198071738	-266435.8049	-115651.829
2	167650004947.013	-60445.4673	-558.9858	1524.67575152341	218872.598142411	-248059.8291
1	165938463987.361	4842964.01281029	2576.7951242783	4142.52644603469	-399649.6314	232.342617441455
2	167623910113.588	-45994.4928	-4783.1302	5521.49518625055	-590271.2958	-131428.0019
1	167294401241.448	-1664783.4999	-215.9358	229.687786310712	289507.816267601	-81511.1645
2	166867098671.036	-2775834.786	1999.42014106233	-395.8635	-185981.2461	-89160.3894
1	167355233522.248	-1348974.3726	-181.4251	330.987940035642	360111.194862785	-12405.7586
2	167597166636.561	-293127.3185	83.1087088862489	0.289795581501355	309906.847481972	-138619.9167
1	166143772760.924	4726867.38540756	5045.99333291782	1669.48560792644	-407313.6353	13230.5078546929
2	167638708476.149	-53460.6976	8373.80240694892	-7385.3693	-464032.7802	104323.768444262
1	166056166929.527	4551228.65688943	8545.48134155715	-607.297	-404349.0809	1852.19948527758
2	167619602664.912	-185163.2688	-197.7315	293.421420515524	389141.263866834	-88484.5815
1	166337445878.599	-2524286.3623	861.593897184929	-1684.0199	-198208.4305	2474.15398314388
2	167276765464.505	-1704571.7942	-230.8872	226.038858340309	306561.94977867	-91075.7327
1	167355363698.367	-1014515.7637	49.8643082380971	-89.1951	620689.574472538	47241.137842673
2	167296703795.006	-1593594.9251	-234.6488	232.449047535932	348263.304706065	-82155.896
1	165837342315.974	756176.575033581	-717.1552	3419.10920815704	-274372.1529	-23021.4593
2	167275833480.121	-1697854.3341	-229.678	227.770027819079	307974.899256579	-102240.3119
1	167560189691.764	-367272.2306	6.76792695016573	479.245661865198	481667.069619144	23714.799617884
2	167286638679.483	-1855560.5688	333.294817267447	-211.4068	238314.482627294	-103678.1339
1	167552329441.256	-308530.9568	-80.3591	70.7127532299604	712493.265995696	-76189.4569
2	167271559322.166	-1712039.9819	-237.3245	239.489323524227	311494.074057825	-88182.9199
1	165875052816.839	2234433.22094916	-1522.2223	5510.91941296429	-318392.6106	-12099.3698
2	167650072860.379	-60314.3787	944.363526727425	-950.6132	4820.38020735721	57520.9558181887
1	167495646319.277	-450927.274	-81.6848	83.6855060435509	758517.60879051	-71089.8646
2	167650071074.843	-60319.3649	-7095.247	-3793.7882	-500960.5462	641743.317322633
1	167541025756.081	-341589.4077	-84.7102	102.275236974148	783840.630156867	-79455.5282
2	167650072859.903	-60314.3802	379.781751590478	138.858690735206	460781.611488528	-304139.5835
1	167629613271.273	-112815.3597	-85.9725	83.0267928120668	798558.951475331	-79323.7172
2	167558336011.023	-414126.3439	11.1470928759829	-0.3463	361323.337533466	-161395.017
1	167196513663.854	-131177.1827	1492.17910661366	-7811.4761	-294034.8483	28744.6988241195
2	167650072859.986	-60314.3797	93.678583527474	38.0469516888165	351160.750010366	-347724.756
1	166368316697.988	2445584.06305798	1610.30006336295	4424.58845657149	-368504.1152	-17835.263
2	167650067194.785	-60330.3897	-83.9445	-604.0616	450940.009931937	-70358.8708
1	167019205310.594	1988377.41204495	-14670.669	19088.0419612304	-471195.6493	-11673.6868
2	167636497662.064	-123199.33	-201.9416	307.895734064003	394864.524963194	-121878.0743
1	167081367583.707	1646414.85425085	6480.95775750042	-13439.5272	-457401.0295	58055.7834787002
2	167650064970.67	-60346.6003	-195.9261	251.743773817824	414462.252835625	-183818.4482
1	166411400414.437	1365069.40918072	4974.36795179766	1568.53673168571	-342427.0375	9318.05201574115
2	167326257565.003	-1522315.628	-233.9779	233.326055634779	328577.031089333	-123808.2848
1	167497520999.237	-426456.6804	4470.59170845508	-11584.8549	-473531.2876	-194429.4344
2	167650058316.691	-60381.3283	1055.66504136656	-359.0358	52339.2482354444	-138316.0426
1	167500838326.466	-531669.7222	2800.34636108842	-7246.2733	-248017.0352	-225552.7065
2	167650072850.513	-60314.4014	-412.3275	1441.02962362313	381210.483299326	-263268.0226
1	167566555406.203	-290009.1761	5753.68664442135	-12911.4288	-201477.3049	-192173.1937
2	167650072855.285	-60314.4042	200.544956968712	-648.5664	-78242.0088	-233509.8844
1	167476422682.835	-499017.2521	-82.4661	98.943208551062	722657.545559066	-64199.1363
2	167650072860.248	-60314.3793	434.519642383634	-327.0823	72332.0551082792	-152386.3399
1	167647532955.529	-67827.365	546.91592775977	2484.06143731194	816004.946389922	227324.407574633
2	167650072860.357	-60314.3787	295.483983138294	725.841269534577	625259.56045104	-267871.2057
1	167646600555.028	-67115.0932	-36071.0686	-24890.7277	-567560.0963	480425.506374724
2	167650069039.187	-60326.9753	209.413879188008	-139.5804	365344.788309505	-226646.2296
1	167546458853.277	-581961.5449	342.515665281438	-192.4434	214881.179156056	-158291.9032
2	167648862954.405	-65154.9319	-296.5899	-177.7627	402989.314240513	-62808.757
1	167375063629.603	-1012036.7817	1629.21239750235	22.9665798878572	-257638.5256	199076.901510825
2	167650072851.236	-60314.3963	-1098.0351	1703.2927642709	361923.527099769	-257428.5092
1	166696341080.81	1743495.10118563	-8561.139	11087.6470236118	-379242.3071	-14976.6107
2	167650070141.817	-60319.759	4318.10382764873	-8067.4621	-514869.2458	304367.830429898
1	166922965441.571	2132845.83002295	-1787.0311	8342.01095470061	-437087.9953	-9667.0201
2	167650050074.209	-60408.9089	-202.0606	280.68506222721	452217.689526918	-165990.7917
1	166553587627.659	2805862.97266062	-2295.9557	9188.72494524417	-392057.7929	-20357.6229
2	167650069160.677	-60330.843	689.951501196884	209.226328973254	-161450.9573	-149994.717
1	167497334469.377	-436271.1192	4323.31475631926	-11036.4043	-310190.5375	-224237.0718
2	167650072842.702	-60314.4524	-221.5347	206.387437501352	443743.21070126	-207166.9651
1	166022137105.687	3949351.54882626	6344.91520293569	2140.92428404386	-368627.6713	-13019.8882
2	167650072860.042	-60314.3796	428.709948385334	-991.3799	599194.048607523	-201031.4089
1	166164183332.511	3661130.92436525	3573.71648702373	3436.2761575164	-374987.0603	-16645.3302
2	167650072860.361	-60314.3787	110.759935115433	1085.79464982646	620349.326785167	-228346.1555
1	166791314045.487	-1431303.0431	220.866242054648	-2105.642	-213865.9244	338.451309473134
2	167644436166.15	-84428.0167	-220.3571	295.330596292966	404273.028151994	-117783.3872
1	167511223120.124	234398.866296031	3806.83978812259	-4438.6761	-466603.2324	-32769.2236
2	167650072857.187	-60314.3893	1970.65798697432	-1007.2067	91055.783707308	-237498.7382
1	167101266773.324	-3312869.0969	1947.90245861854	-1174.982	6614.52114222953	-64637.23
2	167649886183.099	-60984.1723	163.051593160584	803.726541669796	469893.430212193	-185937.0918
1	167448238286.391	359910.793345025	2701.10180621204	980.946073925354	-446270.1254	-33447.5608
2	167650072052.183	-60314.8463	21341.061184442	-28771.9701	-599959.7286	-50285.7847
1	167477571702.781	-495926.7977	-80.5721	89.2609685569405	693632.289716555	-60607.3178
2	167650072391.678	-60314.8184	-6374.2785	-2398.8254	-717558.1599	366569.041790214
1	167421817264.26	-759411.0622	14279.2088343238	9342.47630950174	-276922.3211	400831.378139825
2	167650072792.133	-60314.6565	1586.15431740231	-1027.3709	88814.7432829285	-156075.4137
1	167505098634.494	-459071.4558	1554.55708499711	3140.28550855274	58966.0210316223	528742.242682641
2	167650072860.07	-60314.3793	269.404127349931	594.504328618467	419384.461599032	-329271.9809
1	167538897905.112	-385193.4222	290.698068256435	425.437585222443	208084.100835046	306403.908605287
2	167650072736.895	-60314.2089	-3437.7534	4442.05241923931	-504915.5227	-162812.5925
1	167459750767.381	-605927.2118	2493.75797501821	6013.00523930036	-130675.0049	544803.862350981
2	167650032605.751	-60467.4557	317.452971770194	-157.4676	282104.13451913	-141993.8494
1	167465750719.847	-557787.9481	635.754207397769	725.987331389177	153966.903302539	455252.687431404
2	167650071976.027	-60316.9278	-13.5922	16.7475180783748	560377.299757221	-99099.4956
1	167391375018.944	-897068.1759	-96.7607	-777.3061	679269.981823803	-19171.6441
2	167650072479.339	-60314.7267	6302.22497452863	-7303.1824	-690679.3007	-44476.0109
1	167536590437.219	-433084.3686	5041.74803045072	927.226917958937	-425633.0735	426419.077865707
2	167611507769.248	-205206.3857	29.0458491400098	-9.5979	371340.066961592	-155778.2836
1	166030177377.673	4716979.41116148	7727.74132995839	-755.4957	-380484.4007	1540.94349320207
2	167650072807.681	-60314.4899	-512.728	876.181061971594	400731.824717765	-318134.5421
1	166650483461.2	-3259729.9435	1404.6762464254	-1732.9351	-187501.5824	-2938.4186
2	167595872042.55	-40207.6576	-1059.5415	7144.48769545971	-309906.4535	-88373.1292
1	167496340650.494	167223.339987507	-3883.902	8802.09364149003	-492627.1219	-91815.7739
2	167506002783.155	-688065.2445	56.0974601966543	339.155847619162	326926.895620778	41602.5591849607
1	166470730709.166	-3800334.1882	2298.27916378206	-1434.1206	-155177.6448	-72775.8263
2	167341784281.651	-1446388.1734	-242.6301	238.536458623851	334725.542477322	-119462.9743
1	166220171218.221	-1758179.5862	1023.0327000555	568.382796230862	-221810.6214	-49526.887
2	167642087766.539	-94582.7589	-231.2372	229.652520796332	373863.236471922	-154715.6138
1	166009930679.31	3222579.56606431	-5824.0566	9064.99876420233	-406456.5819	-42958.7326
2	167647331557.305	-72825.5229	687.409898656892	-457.0227	215760.530452452	-170882.8972
1	165881043372.514	3455451.34371202	-5027.7167	8694.44612366011	-399901.7289	-37287.587
2	167637644426.204	-86581.1274	-2450.2658	3551.20038711736	-333358.4449	-118814.8835
1	165836559528.27	1987625.47296391	-3243.5321	6291.68339327891	-343633.0346	-16954.224
2	167646857164.343	-73105.5623	-120.5864	122.976097355922	383335.686789355	-163785.7352
1	166767721129.123	-4343850.9573	2479.92614428795	-1594.1075	-41694.1562	-62208.9736
2	167611408038.963	-206603.4007	6.00512821877748	6.33012848379538	375742.338279834	-175238.5867
1	167598941431.287	-218603.3471	128.952425107115	626.653158711667	645901.43263361	48035.3447218706
2	167650072270.712	-60317.2195	-2368.4228	2796.09163820585	82473.3015852491	-153757.7486
1	167406628395.341	-838036.4139	-146.6607	-1062.0421	684468.456822905	-3550.6411
2	167649870652.722	-61141.3934	-259.5171	246.931276042785	404140.579685977	-176083.3138
1	167551386650.109	-324940.3022	-173.8244	-933.3287	699763.780741443	-52349.5093
1	167599886644.052	-189312.6452	383.219879614568	1567.24751122226	527564.740766146	-48227.1481
1	167485757443.997	-476458.7272	-83.8492	102.110341609586	732832.270577685	-67577.057
1	166455187797.697	-3772116.2977	2228.50409205084	-1833.9506	-106555.2254	-51630.2186
1	166825655546.109	-1829213.7914	1041.61537378021	-333.8563	-259526.0082	-16586.652
1	166460361941.356	-2888895.4186	1116.87659380664	-1047.974	-229994.2311	-32444.8404
1	165962760058.012	-342165.7261	762.355863257457	1438.03711675248	-262133.8667	1869.26123699078
1	167053536688.335	-3544641.9023	1783.37551177888	-1445.6362	44289.3231017228	-52196.7383
1	167477329728.74	-538861.039	1243.87128396356	2606.59240927674	33649.4622121049	493393.046283332
1	167486616210.217	-506320.3955	1331.38138990633	2472.04264613246	103434.785770211	540711.541870115
1	167458003804.065	-580395.1219	144.960896133721	-275.1615	237798.371067288	449414.784607645
1	167524005044.172	-407349.4674	422.814183183078	-139.879	172569.812882973	579611.296322607
1	167463426623.004	-568490.7045	-183.8221	-1295.5204	205808.166094547	553426.24925289
1	167583653765.588	-250414.0471	-398.1501	-921.6213	556416.154338793	241329.890716589
1	167374528961.32	-1174600.5096	451.882025581071	-3172.1926	-273546.843	15500.5712882106
1	167073887485.978	-2198175.5807	358.427915046923	-2745.3765	-182171.7097	28822.7374591257
1	166678946168.584	-3400898.6153	2226.76117885281	-1027.8544	-161886.2827	-81217.8897
1	165955927325.033	4735448.81695011	1552.93074913229	5066.53634119616	-406746.5412	-14649.1153
1	167325504979.001	-1801115.4875	2316.40889590239	-1496.5881	-56479.4922	-87544.6495
1	167081329233.111	-1274322.201	1208.68849973872	-2389.8937	-259665.6008	16082.8604383514
1	166518195603.296	-4246835.122	2318.00383079639	-1783.3839	-132358.904	-23901.0297
1	166797859855.351	-3742737.8275	2242.7834278973	-1533.2768	-154249.0982	-55569.0586
1	166425482725.255	-2657287.894	1589.49307562916	-419.7449	-248016.4741	-16988.288
1	166546778175.627	-4073054.9477	2364.67276763401	-1549.1004	-121257.5488	-48720.1655
1	167138409638.368	-3157773.1177	1747.69914775377	-1123.9389	50549.1846553015	-75023.2924
1	167473898651.579	-543121.0047	1205.16232538525	2301.25469901536	151681.6464866	446606.103390956
1	167469451768.545	-552384.9056	50.0082013304623	-731.9282	230405.570509116	532588.61578907
1	167457728828.83	-576044.962	-785.4926	-2281.3909	506913.445871193	470516.428946571
1	167471183074.027	-545950.6606	-893.6431	-2728.3423	400966.666134201	570830.942989763
1	167522298943.677	-381305.5931	-482.9628	-823.3712	654054.292076722	607638.885862295
1	167462050678.21	-671020.165	122.496643001128	272.5530012898	576789.58446461	42951.8114282563
1	167347500561.756	-1360854.2322	-191.8374	328.602407139115	371445.36098493	-40721.1602
1	167198428193.869	-1280825.9784	1484.49209301096	206.350982725989	-199845.9967	-84793.8309
1	167272328289.456	-2247722.6758	1158.29262355341	-862.0721	35682.5256032061	8080.29390710737
1	165880572477.086	1633588.24421671	1246.53971612087	3171.52831632891	-305196.6833	23161.5479975006
1	166479609080.907	1842657.88994336	707.867278057723	5238.51618436737	-376509.8811	-18320.3068
1	166105479270.241	1975045.89366395	-494.6004	4682.21385326451	-325997.7007	-15713.7404
1	167175018210.305	-2691987.4614	2014.81030985235	-1367.5446	-25073.1046	-75603.9801
1	166849912050.646	-2113048.1381	1658.50897380928	-219.5307	-228270.9277	-94236.4094
1	166476233809.685	62150.1306103377	-4452.49	7365.55975722493	-361190.213	-64904.9544
1	166135132060.403	1825334.62494906	-3153.3179	6647.30644764331	-368839.9491	-22444.7349
1	166728517492.78	-1981635.9635	1018.07726185961	1069.73660802785	-210454.8879	-44856.9867
1	166793455710.776	-3822095.0774	2394.35556583839	-1129.6479	-138364.9638	-85591.4995
1	167526409428.278	-371086.6221	-493.1746	-859.8223	652540.782981252	605328.206287717
1	167575742417.382	-248685.2487	-201.0611	150.684509145168	713274.176458116	566608.599721638
1	167570834800.919	-290151.3353	600.142782075751	2826.01164028368	682082.134129052	254043.410986948
1	167455873497.033	-654139.1943	402.251829856724	1757.75540930679	613122.545578319	64088.4999687726
1	167516564127.782	-454447.9122	603.30832870973	2821.89911072175	703089.747560502	269825.043674762
1	167397337553.134	-855367.1385	294.081816238683	1157.9884979345	648912.684052849	82332.6381094219
1	166116680795.035	4422511.78873392	-3977.9415	9839.0980775575	-389558.8156	-24714.9484
1	165864854311.634	4668093.98965242	-1119.467	7408.31861786571	-367874.6789	-21766.2419
1	166249584792.247	3654916.46915664	-3945.5653	9294.48471930595	-406376.157	-28391.1579
1	167080134745.774	-1589876.3958	2198.16009402116	-1586.207	-143175.6126	-67510.6847
1	167327729725.233	-1995840.7516	1844.1387493724	-1185.8863	-2672.9326	-121359.5635
1	167619885907.264	-142178.2276	-1331.9914	-3654.446	438734.49160729	619291.190904542
1	167533892612.049	-358504.4946	-649.8321	-1434.5116	546601.842518929	617330.17535366
1	167405106758.556	-829086.3605	289.285433090721	1154.82220717458	652708.547824427	79422.8490744554
1	167494225775.997	-539248.474	496.281959624731	2223.02605786743	704974.42076557	142209.597149656
1	167474982112.87	-624763.3653	278.016401603448	995.654261147923	740264.481662015	77783.5796997745
1	166249899118.327	4387918.35968166	-9626.1137	14586.3749988196	-426908.0245	394.074452919521
1	166770829936.67	1782965.78671668	-7312.8431	11472.2320205249	-387076.0012	-20584.7436
1	167403791969.71	-844707.0301	186.916368365158	610.273285352064	565964.855262529	41325.443599193
