s11	s12	s21	s22	s31	s32	s41	s42	s51	s52	sn11	sn12	sn21	sn22	sn31	sn32	sn41	sn42	sn51	sn52	ts11	ts12	ts21	ts22	ts31	ts32	ts41	ts42	ts51	ts52
-0.01058	-3.38634	-0.00418	-1.6836	0.00343	-1.44292	0.2524	-1.56104	0.32276	-1.57209	1.0276	1.12942	0.56447	0.50929	1.46152	-0.21865	1.3561	-1.20929	0.75142	-1.86312	1.0915	0.35597	0.95567	0.19858	1.9291	0.61497	1.7069	1.38883	1.53412	1.47573
-0.82746	-1.26491	-0.48856	-0.36935	-1.10136	-1.00852	-1.04553	-1.48673	-1.04837	-1.59182	-1.3842	0.67096	0.73313	1.3326	1.04176	-1.64019	1.2365	-0.60588	1.91558	-1.41166	-0.05713	0.48109	0.50655	-0.17064	1.98827	0.29156	1.92378	1.08202	1.65721	0.9391
-1.57364	0.20035	-1.72072	0.03959	-1.34744	0.02271	0.77655	-0.82983	0.38404	-1.18648	-0.75065	0.60081	-2.33227	-0.80762	-0.19445	-2.21613	1.08267	-1.34398	0.1365	-1.65912	-0.14907	0.00894	0.62803	0.34648	1.95968	0.59202	1.69698	1.31364	1.28776	1.13344
1.2934	1.04719	1.7462	0.24812	1.37414	0.6541	1.45481	-1.11735	1.26771	-1.31182	0.90735	-1.55075	0.67179	-0.88325	0.53178	-0.37466	1.01966	-0.96796	-0.44505	-2.09577	-0.51388	0.15148	1.08437	0.63482	1.83388	0.83297	1.53351	1.4742	1.33989	1.7848
0.03913	0.79276	0.01189	0.22488	0.04154	0.95922	1.75714	-0.38363	-0.71322	-1.69742	-0.36357	0.13534	-0.34902	-0.47563	-1.44675	-0.3368	1.37631	-0.59172	1.82122	-1.92939	0.00352	-0.54344	0.35004	-0.30568	2.04653	0.26961	1.90641	1.10044	1.65645	1.0494
-0.55328	0.01732	-0.24669	0.00479	-0.89049	-0.04221	1.59509	-0.67808	0.65376	-1.40778	1.58727	1.12022	0.21148	-0.42024	1.91119	0.4593	1.42755	-1.06338	0.11028	-1.97088	0.78182	-1.02285	0.85898	0.44054	1.90932	0.82147	1.62818	1.45311	1.48226	1.62708
-0.09429	-1.74144	-0.03238	-1.6376	-0.06571	-1.48158	0.69268	-1.61543	0.68949	-1.59277	1.60109	1.78665	0.59911	2.10749	-0.15159	-0.82979	1.33412	-1.31287	0.17203	-2.08529	-0.64008	0.21345	0.73321	-0.96884	1.91914	0.64034	1.6482	1.41301	1.29727	1.48966
1.08805	0.43354	1.80769	0.0922	1.46712	0.09347	1.14918	-1.2617	0.43139	-1.64421	-0.17347	1.86689	0.63344	-0.08243	-0.07931	0.75596	1.57488	-1.04735	0.35017	-2.11254	-0.34372	-1.70398	0.77917	0.26168	2.13059	0.77174	1.65696	1.42218	1.31782	1.44071
0.01885	-0.45838	0.00267	-0.09872	0.0206	-0.27334	0.81048	-1.30888	1.12844	-1.04449	-0.08173	0.15311	1.55718	0.12974	0.90324	-0.58544	0.76317	-1.03468	-0.44488	-1.97506	0.16897	-0.1017	1.23405	0.55759	1.81948	0.7739	1.50958	1.43533	1.36821	1.82414
1.05525	0.49601	1.60615	0.1113	1.36929	0.44824	1.25214	-0.23012	-1.01153	-1.18706	1.12136	0.81985	2.08297	1.08222	1.60783	1.26302	0.82679	-0.67143	1.65247	-1.1448	0.0219	0.03635	0.35268	-0.01069	1.98922	0.39356	1.85918	1.13434	1.5212	0.89219
-0.19107	0.77962	-0.06507	0.21829	-0.09831	0.90396	-1.08655	1.35833	-1.6106	0.71906	-0.04529	0.49628	0.37637	-0.22869	-0.22525	-0.63021	-0.18717	0.45207	0.73075	0.75036	2.22382	0.49231	0.30729	0.55625	-0.57666	1.58028	-0.93335	1.16687	-1.15695	1.328
-0.55945	-0.28665	-0.25383	-0.05841	-1.1196	-0.13862	-0.53101	1.18552	-0.62713	1.15925	-0.07119	-0.79678	-1.22696	0.53867	1.6651	-0.58563	0.40456	0.64264	0.50436	1.39693	-0.27194	-0.34222	-0.43628	-0.17842	-0.91545	-0.03502	-0.78823	0.31186	-0.7834	0.7183
0.92261	1.71766	0.42481	1.15049	0.82981	1.0698	-1.78282	0.47915	-0.22489	1.66815	0.80197	1.20829	1.58982	1.23702	-0.12193	1.11936	0.08533	1.62317	-0.59032	1.50849	0.0575	-0.99452	-0.32999	-0.99679	-1.08073	-1.083	-0.98529	-0.25287	-1.02758	-0.13214
-1.3822	0.12637	-1.94072	0.02379	-1.57531	0.03428	-1.57728	0.87671	-1.21635	1.36089	-0.68669	1.36714	-0.53964	-0.18988	-1.16359	-0.87316	-0.13572	0.22995	0.87558	0.85417	0.86273	-0.7004	0.14019	0.82302	-0.89146	1.83061	-0.90115	1.26418	-0.89911	1.5023
0.4947	1.19515	0.18604	0.42775	0.07119	3.61768	-0.29583	1.57153	-0.64657	1.4723	-1.06216	-1.91784	-0.14058	0.32025	-0.68802	1.0995	0.25969	1.07858	0.4041	1.45551	-1.53792	-0.43846	-0.05375	0.03335	-0.95841	0.04746	-0.71585	0.26847	-0.6167	0.7771
0.90484	0.75862	6.70544	0.17866	2.96716	0.02859	0.65566	0.65247	-0.37429	0.81109	0.04455	-0.53813	0.35682	-0.70718	-0.19993	0.94708	-0.13366	1.18954	-0.09063	1.48101	2.78743	-0.19645	-0.36351	-0.64753	-0.98811	-1.02427	-1.06723	-0.09883	-1.11134	0.31054
-0.08727	-1.53801	-0.03335	-1.0457	-0.06103	-1.18179	-1.71716	0.31274	-1.0506	0.76162	-0.32982	-0.39147	0.5382	-0.25309	0.34813	-0.21888	0.00811	0.44913	0.6601	1.07852	-0.88182	-2.27072	0.16795	-0.09736	-0.64301	1.23423	-0.86853	0.98257	-0.99778	1.25717
0.49232	-0.11412	0.1939	-0.02079	0.87626	-0.07409	0.24575	0.86068	-0.00321	0.64928	-0.69461	-1.30302	0.03422	-1.07261	-0.40859	1.55692	0.20348	1.29034	-0.28547	0.95248	0.38884	0.5269	-0.63533	-2.53064	-1.1176	-0.73625	-0.76599	-0.24013	-0.81042	-0.22198
1.16048	-0.28005	1.49914	-0.05984	1.26877	-0.1504	-0.65602	1.09871	-0.8159	0.90719	-0.22698	-0.28425	1.18566	-0.79564	0.04628	0.34863	0.1156	0.52588	0.76326	1.08101	-0.40969	0.35636	0.02677	0.62955	-0.7489	1.64818	-0.83491	1.14919	-0.86057	1.29135
-0.20974	1.45825	-0.07055	0.45917	-0.09498	1.08705	-0.17438	1.38096	-0.5735	1.17444	-0.19387	1.10014	0.50683	-0.61693	-0.43134	-0.58402	-0.02497	0.46022	0.70001	0.98592	0.84072	0.5576	0.19496	0.47379	-0.69484	1.65354	-0.89144	1.21534	-0.87312	1.4754
0.01858	-2.05291	0.00364	-1.56629	0.01679	-1.3515	-0.12327	0.85881	-0.51215	1.0149	-1.0348	0.31065	0.39996	1.28017	-0.29285	0.94058	0.23256	1.57622	-0.59462	1.2018	-0.07136	0.49728	-0.23516	-0.64121	-0.88967	-0.60915	-0.58565	-0.27648	-0.41019	-0.32217
0.01085	1.21163	0.00342	0.51124	-0.08397	1.69483	-0.25072	1.03846	-0.78597	0.44964	0.88634	0.34522	-0.34769	0.762	0.36022	-0.48397	-0.00031	0.05505	0.8087	0.74598	-1.31769	1.3245	0.22296	0.7676	-0.66928	1.90212	-0.91609	1.27042	-0.95545	1.45144
-0.42227	-0.22348	-0.15566	-0.0448	-0.54712	-0.11483	-0.51306	0.67294	-0.05069	1.11173	-0.16264	-0.85503	0.05974	-0.72112	1.47328	0.38286	0.30408	1.00434	0.11231	1.10878	-0.20387	0.80778	-1.44216	-0.83985	-1.00918	0.01641	-0.72929	0.32178	-0.75692	0.88275
1.63949	0.49657	1.76143	0.10935	1.41851	0.45165	0.80134	1.24748	-0.02747	1.55822	0.72145	-0.36141	1.44973	-1.66256	1.31698	0.19891	0.57447	1.32128	0.29932	1.10362	0.28696	0.50974	-0.29356	-0.19788	-0.88112	0.41666	-0.61329	0.42456	-0.50347	0.91162
-0.14509	0.91805	-0.04789	0.29428	-0.05338	0.95094	-0.33895	0.71616	-0.68414	0.46614	0.35672	0.25159	0.78721	0.58376	1.92021	0.6259	0.01144	0.48015	0.59307	0.97157	-0.72747	2.30577	0.69482	0.35912	-0.6212	1.38639	-0.89782	1.03763	-1.07294	1.28995
0.91906	1.99365	0.46338	2.07437	0.53055	1.36565	-0.09312	0.88964	-0.49677	0.68731	0.10352	2.41996	0.0162	0.70731	1.20415	0.31712	0.50913	0.53367	0.98833	1.27843	-0.11175	1.17983	1.15096	0.15915	-0.93722	1.11874	-0.64035	0.83063	-0.57842	1.08251
-0.08386	1.51204	-0.025	1.87761	-0.0057	1.36459	0.2007	0.75185	0.10895	0.71842	0.02474	-1.1833	1.49078	-0.29747	-0.9771	0.62818	0.32001	0.52654	0.76863	0.96669	0.38037	0.45271	0.01169	0.09149	-0.84419	-0.18438	-0.67622	1.05903	-0.66823	1.32451
-0.15051	1.63686	-0.04975	1.11674	-0.07292	1.24968	-0.54928	1.50564	-1.39419	0.78096	0.66512	-0.12183	-0.95111	-0.86066	-0.65344	-0.10832	-0.05385	0.19608	0.84498	0.75358	-0.16625	-0.02683	0.21247	2.16077	-0.66408	1.80013	-0.94933	1.28621	-1.09325	1.5037
0.19271	1.92991	0.06612	1.56218	0.15577	1.2859	-0.18825	2.43996	-1.15849	0.63391	0.9202	0.98405	0.02363	-0.71777	-0.69363	-0.01842	0.14786	0.44275	0.76332	0.96673	0.88031	0.35082	0.05798	0.70881	-0.71336	1.72009	-0.9185	1.2097	-1.03316	1.38002
0.3806	-0.10513	0.13928	-0.01692	2.10118	-0.06252	0.919	0.83589	-1.26221	0.36022	0.32807	1.92983	-0.88455	0.90861	0.07308	-0.06563	-0.14536	0.32575	0.85054	0.82177	-1.25616	0.68708	0.09933	0.98873	-0.63678	1.84444	-0.93041	1.28478	-0.98274	1.48048
-0.67299	0.51653	-0.32271	0.11094	-1.02681	0.16875	-0.60512	-0.40552	-0.37529	-0.38176	0.69256	-0.55851	0.63187	-0.66668	0.06927	-0.18197	-0.24357	-0.06974	-0.10953	0.33294	-0.18606	-1.8846	0.13024	-0.18599	-0.2185	-1.1325	-0.29788	-1.20923	-0.50827	-1.13
0.69072	-0.3876	0.34798	-0.08136	1.35277	-0.30587	-0.06871	0.14201	0.32515	0.25372	-0.9245	0.98719	-0.44894	0.64593	-0.83098	0.14789	-0.58927	0.02962	-0.77026	0.31507	0.04762	0.45169	-0.09018	0.00066	-0.11445	-1.36808	-0.12047	-1.48798	-0.5247	-1.47098
0.33693	0.7089	0.11564	0.17419	0.238	0.82154	0.24792	1.72078	-1.39632	1.06582	-0.92805	0.46998	-2.10425	1.29024	-1.30783	1.04851	-0.31665	0.44866	-0.08611	0.72854	-0.22122	-0.9793	0.39172	-0.11355	-0.57435	-0.51122	-0.55873	-0.84525	-0.6569	-0.85153
-0.12677	-0.60019	-0.04496	-0.13992	-0.0613	-0.83862	0.60465	-0.25871	0.92192	0.62537	0.81303	-0.10595	0.52192	1.58339	-0.36363	-0.55674	-0.75932	1.10634	-1.34907	0.55072	-0.26187	2.51613	-0.34632	-2.26736	-1.17756	-2.02031	-0.63134	-1.92972	-0.91262	-1.6
0.38385	-0.679	0.13212	-0.15947	0.39329	-1.01124	-0.54184	0.29434	0.5237	0.93148	0.92742	-0.36925	-1.60851	0.74755	0.09058	0.3903	-0.72778	0.95046	-1.16135	0.72877	-1.03722	0.86016	-0.27236	-0.70602	-1.0514	-1.92061	-0.58536	-1.69389	-0.8209	-1.34844
-0.31883	1.80311	-0.10332	1.58805	-0.5627	1.32151	-0.72069	0.34995	0.7921	1.01945	-0.29973	-1.19496	0.72591	-0.56573	0.43089	0.5337	-0.73741	0.59155	-0.95615	0.46799	-0.29934	2.51545	-0.18602	-0.03926	-0.58947	-1.7333	-0.34016	-1.67752	-0.6255	-1.48907
0.42653	1.24003	0.15163	0.43124	0.56345	1.05377	0.395	1.35936	0.07933	1.53528	0.3396	-0.05889	-0.52632	1.58919	-0.53095	1.3141	-0.93289	1.55495	-1.14406	1.09083	0.04539	0.65843	-0.27118	-0.43267	-1.11666	-1.31981	-0.74685	-1.09456	-0.90177	-0.86409
-1.10229	1.75441	-0.60036	1.40636	-0.79177	1.09084	-0.87763	0.38613	-0.4985	0.50967	-1.15028	-3.27367	-0.70395	-0.59276	0.44624	0.75713	-0.44115	0.33254	-0.24298	0.60771	1.22183	0.50716	-0.19187	-0.06637	-0.27687	-1.11584	-0.33794	-1.15885	-0.51336	-1.102
0.07935	-0.51713	0.02225	-0.11453	0.05181	-0.45918	0.30659	-0.6994	0.42848	-0.40393	-0.69973	0.39994	0.15971	0.49605	1.14993	1.69411	0.51972	0.94755	-0.52219	0.25796	-0.65781	0.64689	-0.25432	-0.08368	-1.28858	-2.11941	-0.67388	-1.9815	-1.07436	-1.72313
0.05996	1.3185	0.02015	0.73334	0.06341	1.07362	-0.40586	0.41623	-0.38016	0.21894	0.19114	1.04048	0.46094	1.24823	1.43948	0.998	-0.43194	-0.09714	-0.11941	0.5034	-0.78772	-0.21364	-0.06551	-0.27957	-0.25096	-0.94846	-0.28418	-1.17451	-0.46814	-1.13003
0.37321	0.06092	0.14109	0.01764	0.44241	-0.00659	0.9216	-0.41618	0.88392	-0.2679	0.1851	-0.55367	1.76517	0.43334	2.3505	0.53133	-0.09404	1.09867	-0.96999	0.42391	-0.9297	0.84013	-0.28541	0.00134	-1.32426	-2.09698	-0.65143	-1.95265	-1.01622	-1.67179
0.9677	0.13081	1.05752	0.0284	1.35553	0.00496	0.79587	1.35449	1.23972	1.14138	-0.90128	0.51689	0.25654	1.80078	1.00321	0.95777	-0.57246	0.95638	-1.32914	0.6793	0.76002	0.76653	0.13174	-0.27308	-1.13153	-1.8745	-0.63093	-1.74383	-0.8513	-1.48772
-0.28594	1.28414	-0.09982	0.53562	-0.24748	1.38371	0.46826	1.56746	0.55878	1.34038	1.02392	-0.86822	-0.25106	-1.82749	0.789	0.72045	-1.08515	2.11624	-1.48029	1.03843	-0.72817	-1.4465	-0.16824	-0.4477	-1.19853	-1.33864	-0.75403	-1.14276	-0.93246	-0.88563
0.57831	0.00562	0.24104	0.00409	1.22532	-0.0348	1.22638	1.13941	-1.38983	1.11763	-0.03102	0.43646	-1.03177	2.10693	-0.34816	0.7875	-0.21365	0.35758	-0.02221	0.84409	-0.26138	0.69574	-0.00282	0.15561	-0.60128	-0.29326	-0.60065	-0.28761	-0.55828	-0.80368
-0.19733	-0.0613	-0.07124	-0.00914	-0.12753	-0.05812	-1.45423	-0.14453	0.93199	1.35852	0.67267	0.60262	-1.16451	-0.2206	-0.61983	-0.51732	-0.20141	1.8817	-1.25037	0.94131	0.01237	-0.2515	-0.12768	0.29731	-1.0592	-1.39185	-0.74658	-1.04133	-0.80641	-0.5168
-0.28329	-0.48271	-0.10379	-0.10249	-0.21176	-0.25513	-1.48561	0.15374	0.76661	1.28286	0.22234	-0.41085	0.42653	-0.07436	-0.26432	0.45908	-0.77516	1.11684	-1.08335	0.90571	0.42258	-0.40991	-0.05566	-0.45834	-1.02024	-1.61092	-0.6823	-1.42877	-0.88983	-1.1
-0.2497	0.38822	-0.08882	0.08657	-0.16491	0.11714	-1.22585	0.08437	0.39997	1.23935	0.71256	0.6164	2.4093	0.67311	0.93172	0.97551	-1.13121	2.09682	-1.42238	1.00599	0.47703	-1.45394	-0.24929	-0.37517	-1.14064	-1.28802	-0.74603	-1.10418	-0.93434	-0.84684
0.12723	2.08848	0.04422	1.56765	0.11365	1.30146	1.53764	0.3914	1.02618	0.93057	-2.01869	0.29016	-0.27391	1.34238	1.15363	0.50945	-0.88415	1.2087	-1.43872	0.862	-2.63005	1.88121	-0.04952	-0.42508	-1.12045	-1.73068	-0.69329	-1.51016	-0.94305	-1.20515
-1.06025	-0.28323	-1.51904	-0.05999	-1.28572	-0.12938	-0.90906	0.11312	-0.25168	0.30085	-0.22225	-0.68478	1.19291	0.08189	0.29593	1.37528	-0.49346	-0.06957	-0.31945	0.4736	0.23549	2.09271	-0.07024	-0.42687	-0.23394	-0.79883	-0.30813	-1.19374	-0.50832	-1.0
-0.31655	0.8326	-0.11022	0.24236	-0.05368	2.38507	-0.61139	1.66068	-0.68809	1.71515	0.72147	0.73993	1.54935	-0.09431	-0.49698	2.25527	-0.90408	1.67888	-0.84708	0.95819	-0.19283	0.07814	-0.25701	-0.41491	-0.92821	-0.8059	-0.62683	-0.67699	-0.83316	-0.70224
-0.34948	0.28546	-0.11451	0.06155	-0.19354	0.06266	1.09532	0.00462	1.27265	0.51147	0.28079	-0.05833	-0.60346	0.34664	-2.00242	0.01241	-1.57084	0.50037	-1.63727	-0.52292	-0.09027	-0.59908	0.04473	0.2103	1.26474	-0.44084	1.19408	-1.02335	1.14244	-1.13066
-1.33033	-0.11211	-8.04993	-0.01132	-3.38997	-0.0371	-1.06406	-0.38288	0.78582	0.01729	0.27625	-1.75286	0.01256	-1.80318	-0.81747	-1.42612	-1.87573	0.17097	-1.13671	-0.26952	0.63824	0.12594	0.01942	-0.06614	1.04359	-0.31604	1.10162	-0.80669	1.22661	-0.739
0.76513	-0.59227	0.4764	-0.13177	1.31389	-0.54972	0.669	2.01801	1.25213	1.06966	-0.64747	0.81491	0.45327	0.67901	0.31673	2.41839	-1.71281	1.19429	-1.8282	0.29284	0.16013	-0.54979	-0.2062	0.026	1.08188	-0.57228	1.09836	-1.15486	1.25649	-1.3711
-0.42708	-0.46992	-0.15609	-0.10178	-0.59307	-0.23997	0.47884	-1.13722	1.58075	0.64707	0.19183	-0.76101	0.91589	-0.18836	-0.79244	-0.46525	-1.60787	0.21069	-1.40398	-0.24518	0.5884	-0.15661	-0.31048	-0.20212	1.04454	-0.32337	1.04619	-0.96569	0.98348	-0.97
-0.36702	-2.35928	-0.04173	-2.64959	-0.05612	-1.76282	-0.17809	-0.71563	0.92379	0.56315	-0.88932	0.32746	0.09439	0.91462	-0.21216	-0.02117	-1.64751	0.30873	-1.36053	0.08373	1.09808	-0.13677	0.54061	0.1637	0.94384	-0.5524	0.94088	-1.05057	0.93658	-1.18859
1.10426	-0.42366	1.7348	-0.09391	1.31977	-0.30142	-0.55425	0.61537	-0.49341	0.56553	2.62583	0.42745	-0.50614	-0.06076	-0.58793	0.46113	-0.07679	-0.09145	0.21453	0.59162	-0.22438	0.62317	-0.05287	-0.19806	-0.26393	-0.18368	-0.07168	-0.58308	0.2172	-0.73739
0.14375	-0.82272	0.0448	-0.20919	0.09405	-1.01154	0.27587	-0.2291	0.89149	0.22944	-0.81593	-0.70457	0.20392	-0.78309	0.01886	0.00046	-1.53287	-0.21329	-1.21239	-0.39835	1.09646	-0.30879	-0.36235	0.59022	0.90932	-0.5035	0.90637	-0.96936	0.88971	-1.06322
-0.23239	1.55779	-0.0787	1.07836	-0.1278	1.28233	0.9169	0.53493	0.90446	0.89015	-0.60997	-1.29957	-0.77522	-1.44656	-2.04085	1.12579	-1.56329	1.10953	-1.91133	0.30068	0.8733	0.24506	1.5026	-0.40847	1.24648	-0.46697	1.2403	-1.06905	1.3857	-1.04352
-0.42651	-0.70227	-0.16577	-0.15684	-0.6842	-0.45217	-0.59955	-0.96127	0.97869	-0.1205	0.37759	-0.51313	0.03663	0.22329	0.12287	-0.49413	-1.698	0.21677	-1.23161	-0.21182	1.05777	0.30611	-0.00523	-0.1264	1.0922	-0.34117	1.0641	-0.76321	1.26428	-0.7278
1.01859	0.36038	2.22121	0.0713	1.52752	0.29068	1.07683	0.1102	1.26522	0.77202	-0.91717	-1.12106	-0.65616	0.23919	-0.74903	0.79412	-1.71742	0.94234	-1.75399	-0.06469	0.78639	0.53995	-0.19061	-4.27656	1.00353	-0.51263	1.19151	-1.09128	1.27584	-1.22674
-0.84385	-0.38272	-2.86753	-0.08461	-1.77981	-0.07478	-0.01101	-0.83654	1.543	0.78175	0.21492	-0.75221	-1.14036	-0.99476	-1.07362	0.50186	-1.77011	1.01748	-1.97377	0.03994	-2.18045	0.46253	-10.89228	-1.97597	1.70703	-0.51843	1.18429	-1.05349	1.25274	-1.20
-0.1911	0.27308	-0.06233	0.06166	-0.10526	0.09201	2.3508	-0.01621	1.04739	0.79919	-1.99033	0.52747	-0.98507	-0.97813	-1.98241	0.40974	-1.45025	0.81643	-1.72522	0.1821	0.04089	-0.45175	-10.6107	0.51112	1.27442	-0.6676	1.2365	-1.06878	1.40191	-1.08421
0.0483	-1.11116	0.01161	-0.38305	0.03057	-1.10234	0.59605	-0.39986	0.99828	0.11676	-0.50205	2.10809	-0.33075	0.70307	-1.05884	0.71342	-1.88556	0.47876	-1.60481	-0.20172	1.372	-0.85779	0.09335	0.12934	1.15828	-0.59538	1.16458	-1.00264	1.22955	-0.99302
-0.56463	-0.74728	-0.20004	-0.17742	-0.69083	-3.13561	-0.00282	-1.37403	1.44008	0.85197	0.76217	-0.27617	-0.7993	-0.80468	-1.15232	1.08705	-1.73757	1.00118	-1.97443	0.24235	-1.20087	0.53058	-0.00063	0.3735	0.98133	-0.62067	1.15224	-1.11044	1.26559	-1.3081
0.09369	-0.33011	0.0265	-0.06611	0.0569	-0.16278	0.73546	0.29098	0.86561	0.67261	-0.0195	-1.71289	0.02504	0.9755	0.01829	0.92916	-1.56198	1.08609	-1.62266	0.18494	-2.13956	-0.13599	0.20734	-0.13803	1.0307	-0.48398	1.11341	-1.04717	1.11337	-1.35938
-0.57722	-0.83848	-0.23443	-0.21104	-0.72909	-0.71761	0.75267	-0.05919	0.58153	0.2543	0.29554	-0.82141	-0.87265	0.03553	-0.57991	-0.37131	-1.37749	0.86499	-1.39422	-0.01705	0.24072	-0.43689	-0.30681	-0.09728	1.20484	-0.5309	1.2144	-1.01171	1.35136	-0.981
0.17855	-1.25809	0.05688	-0.52034	0.10878	-1.14096	-0.62448	-0.02955	0.02496	0.31202	-0.08348	0.632	0.15275	0.0918	-0.49773	0.08256	-0.68652	-0.04455	-0.57617	0.09293	-0.21088	-1.35801	0.57863	3.3513	0.35639	-0.61772	0.41928	-0.93881	0.58946	-1.14946
-0.10757	-0.19494	-0.0394	-0.03835	-0.05446	-0.11576	2.00714	-0.27179	1.51607	0.12595	0.94705	-0.62366	-0.37704	-0.06418	-0.75967	0.94605	-2.04487	0.67574	-2.13071	-0.58268	-1.96539	-1.1183	-0.02689	0.0819	1.17906	-0.36731	1.26383	-1.00588	1.52747	-1.0468
0.47179	0.74018	0.16693	0.19359	0.53565	0.71682	0.91999	0.03753	0.99433	0.32285	-0.41368	1.08059	-0.49489	-0.04729	-0.57012	-0.26711	-1.32373	0.27072	-1.21693	-0.30498	-0.80099	0.23561	0.21354	-0.17448	1.07231	-0.33519	1.13395	-0.89046	1.127	-0.75345
0.01646	-0.41828	0.00129	-0.08984	0.01576	-0.23978	0.45551	-0.43498	1.24444	0.28791	-1.51808	1.2298	0.19028	-1.3657	-0.74217	-1.49564	-1.47572	-0.1347	-1.21247	-0.49111	-2.2193	1.01313	0.28411	0.20081	0.89217	-0.3876	0.94272	-0.92173	0.91384	-1.01642
-0.69204	-0.95493	-0.3563	-0.24387	-1.06573	-0.69482	-1.13245	-0.79847	-1.41123	-0.73724	-0.2586	0.4924	0.58639	0.77908	1.18188	-0.2073	1.19022	0.30401	1.35857	0.07389	0.88129	1.21858	-0.10137	0.27232	-0.43379	1.80061	-0.16515	1.42046	-0.03487	1.12447
-0.13655	-1.34254	-0.0511	-1.29147	-0.09487	-1.31965	0.659	1.12704	-1.18198	-1.01605	0.46102	0.76437	0.82417	-0.04341	-0.02061	-0.53812	1.08641	0.28237	2.02802	0.08613	0.44218	0.40197	-0.00018	0.55244	-0.26041	2.13074	-0.06343	1.5666	0.09637	1.45153
-0.17056	-0.99979	-0.05732	-0.29746	-0.03661	-2.06854	-0.87764	-1.54648	-1.39543	1.26734	1.47011	2.53071	-0.48242	1.65505	-0.54216	1.11315	0.11892	0.60366	1.23403	1.33546	-0.17342	-0.20412	-0.06995	0.59021	-0.91186	1.58641	-0.73653	1.10164	-0.71156	1.2758
